timestamp,temperature,humidity,cloud_cover,wind_speed,weather_code,shortwave_radiation,direct_radiation,diffuse_radiation
2026-01-28T00:00,19.2,79,31,11.9,1,0.0,0.0,0.0
2026-01-28T01:00,18.4,82,4,9.8,0,0.0,0.0,0.0
2026-01-28T02:00,17.9,84,0,7.6,0,0.0,0.0,0.0
2026-01-28T03:00,17.3,86,0,6.5,0,0.0,0.0,0.0
2026-01-28T04:00,17.0,86,0,5.4,0,0.0,0.0,0.0
2026-01-28T05:00,16.9,90,32,5.2,1,0.0,0.0,0.0
2026-01-28T06:00,16.6,89,15,4.7,1,0.0,0.0,0.0
2026-01-28T07:00,16.7,86,6,4.7,0,37.0,18.0,19.0
2026-01-28T08:00,18.3,78,3,5.8,0,239.0,177.0,62.0
2026-01-28T09:00,20.7,63,3,8.4,0,480.0,399.0,81.0
2026-01-28T10:00,23.1,50,0,9.7,0,686.0,596.0,90.0
2026-01-28T11:00,25.6,38,0,10.2,0,836.0,742.0,94.0
2026-01-28T12:00,26.9,35,0,10.5,0,919.0,825.0,94.0
2026-01-28T13:00,27.8,35,5,9.8,0,919.0,825.0,94.0
2026-01-28T14:00,28.3,36,36,9.8,1,843.0,744.0,99.0
2026-01-28T15:00,28.2,35,50,10.1,2,650.0,500.0,150.0
2026-01-28T16:00,27.8,35,48,9.7,2,417.0,275.0,142.0
2026-01-28T17:00,27.2,36,55,8.9,2,188.0,104.0,84.0
2026-01-28T18:00,25.6,42,46,5.4,2,33.0,13.0,20.0
2026-01-28T19:00,24.0,49,60,6.5,2,0.0,0.0,0.0
2026-01-28T20:00,22.4,58,52,9.4,2,0.0,0.0,0.0
2026-01-28T21:00,21.2,69,50,12.0,2,0.0,0.0,0.0
2026-01-28T22:00,20.3,74,6,11.5,0,0.0,0.0,0.0
2026-01-28T23:00,19.5,77,0,10.1,0,0.0,0.0,0.0
2026-01-29T00:00,18.8,80,0,9.4,0,0.0,0.0,0.0
2026-01-29T01:00,18.1,85,0,7.6,0,0.0,0.0,0.0
2026-01-29T02:00,17.6,87,7,6.5,1,0.0,0.0,0.0
2026-01-29T03:00,17.1,89,12,5.8,1,0.0,0.0,0.0
2026-01-29T04:00,16.7,91,0,5.9,0,0.0,0.0,0.0
2026-01-29T05:00,16.3,91,12,5.2,1,0.0,0.0,0.0
2026-01-29T06:00,16.1,90,0,4.7,0,0.0,0.0,0.0
2026-01-29T07:00,16.2,87,0,4.3,0,37.0,19.0,18.0
2026-01-29T08:00,18.2,75,0,6.2,0,243.0,181.0,62.0
2026-01-29T09:00,20.8,59,0,9.3,0,484.0,403.0,81.0
2026-01-29T10:00,23.4,48,0,10.9,0,694.0,603.0,91.0
2026-01-29T11:00,25.4,42,0,12.2,0,844.0,750.0,94.0
2026-01-29T12:00,26.8,38,0,12.0,0,925.0,830.0,95.0
2026-01-29T13:00,27.7,35,0,12.0,0,925.0,833.0,92.0
2026-01-29T14:00,28.1,32,6,11.8,0,848.0,759.0,89.0
2026-01-29T15:00,28.0,33,11,11.3,1,699.0,607.0,92.0
2026-01-29T16:00,27.5,34,30,10.4,1,489.0,401.0,88.0
2026-01-29T17:00,26.5,37,39,9.8,1,240.0,164.0,76.0
2026-01-29T18:00,24.8,44,57,6.9,2,37.0,15.0,22.0
2026-01-29T19:00,23.3,51,59,8.4,2,0.0,0.0,0.0
2026-01-29T20:00,21.7,61,40,11.0,1,0.0,0.0,0.0
2026-01-29T21:00,20.6,69,10,10.7,1,0.0,0.0,0.0
2026-01-29T22:00,19.7,73,0,9.7,0,0.0,0.0,0.0
2026-01-29T23:00,19.0,77,0,9.4,0,0.0,0.0,0.0
2026-01-30T00:00,18.3,80,0,9.1,0,0.0,0.0,0.0
2026-01-30T01:00,17.6,85,0,7.7,0,0.0,0.0,0.0
2026-01-30T02:00,17.2,86,0,6.9,0,0.0,0.0,0.0
2026-01-30T03:00,16.8,87,0,6.5,0,0.0,0.0,0.0
2026-01-30T04:00,16.5,85,0,6.2,0,0.0,0.0,0.0
2026-01-30T05:00,16.2,83,0,5.7,0,0.0,0.0,0.0
2026-01-30T06:00,15.9,82,0,5.4,0,0.0,0.0,0.0
2026-01-30T07:00,16.1,78,0,5.2,0,38.0,19.0,19.0
2026-01-30T08:00,18.3,68,0,6.6,0,247.0,184.0,63.0
2026-01-30T09:00,21.2,55,0,10.5,0,492.0,410.0,82.0
2026-01-30T10:00,23.8,43,0,13.4,0,704.0,613.0,91.0
2026-01-30T11:00,25.8,35,0,14.4,0,857.0,762.0,95.0
2026-01-30T12:00,27.2,30,0,14.1,0,937.0,842.0,95.0
2026-01-30T13:00,28.1,27,0,14.1,0,938.0,845.0,93.0
2026-01-30T14:00,28.5,26,0,13.7,0,860.0,771.0,89.0
2026-01-30T15:00,28.4,27,0,12.6,0,710.0,626.0,84.0
2026-01-30T16:00,27.8,28,0,11.9,0,501.0,427.0,74.0
2026-01-30T17:00,26.6,31,0,11.2,0,258.0,200.0,58.0
2026-01-30T18:00,24.4,37,0,8.4,0,43.0,24.0,19.0
2026-01-30T19:00,22.7,45,0,8.1,0,0.0,0.0,0.0
2026-01-30T20:00,21.3,53,0,9.3,0,0.0,0.0,0.0
2026-01-30T21:00,20.1,63,0,9.8,0,0.0,0.0,0.0
2026-01-30T22:00,19.2,71,0,10.1,0,0.0,0.0,0.0
2026-01-30T23:00,18.5,76,0,9.7,0,0.0,0.0,0.0
2026-01-31T00:00,17.7,81,0,8.7,0,0.0,0.0,0.0
2026-01-31T01:00,17.1,82,0,7.3,0,0.0,0.0,0.0
2026-01-31T02:00,16.7,80,0,6.6,0,0.0,0.0,0.0
2026-01-31T03:00,16.1,79,0,6.0,0,0.0,0.0,0.0
2026-01-31T04:00,15.7,77,0,5.8,0,0.0,0.0,0.0
2026-01-31T05:00,15.2,75,0,5.5,0,0.0,0.0,0.0
2026-01-31T06:00,14.9,73,0,5.5,0,0.0,0.0,0.0
2026-01-31T07:00,15.1,71,0,5.5,0,39.0,20.0,19.0
2026-01-31T08:00,17.4,60,0,7.1,0,251.0,186.0,65.0
2026-01-31T09:00,20.2,48,0,10.6,0,499.0,415.0,84.0
2026-01-31T10:00,22.9,38,0,13.1,0,714.0,620.0,94.0
2026-01-31T11:00,25.2,32,0,13.6,0,870.0,772.0,98.0
2026-01-31T12:00,26.9,25,0,14.3,0,952.0,854.0,98.0
2026-01-31T13:00,27.9,23,0,13.3,0,955.0,859.0,96.0
2026-01-31T14:00,28.3,23,0,12.8,0,876.0,785.0,91.0
2026-01-31T15:00,28.2,24,0,12.7,0,723.0,639.0,84.0
2026-01-31T16:00,27.5,27,0,12.3,0,511.0,436.0,75.0
2026-01-31T17:00,26.2,30,0,11.9,0,264.0,206.0,58.0
2026-01-31T18:00,24.0,39,0,9.8,0,45.0,26.0,19.0
2026-01-31T19:00,22.0,47,0,8.4,0,0.0,0.0,0.0
2026-01-31T20:00,20.6,53,0,7.7,0,0.0,0.0,0.0
2026-01-31T21:00,19.4,62,0,8.5,0,0.0,0.0,0.0
2026-01-31T22:00,18.4,71,19,7.2,1,0.0,0.0,0.0
2026-01-31T23:00,17.6,78,22,7.0,1,0.0,0.0,0.0
2026-02-01T00:00,16.9,83,43,6.7,3,0.0,0.0,0.0
2026-02-01T01:00,16.3,86,63,6.3,3,0.0,0.0,0.0
2026-02-01T02:00,15.9,88,84,5.9,3,0.0,0.0,0.0
2026-02-01T03:00,15.5,88,85,5.6,3,0.0,0.0,0.0
2026-02-01T04:00,15.3,85,86,5.7,3,0.0,0.0,0.0
2026-02-01T05:00,15.3,82,87,5.8,3,0.0,0.0,0.0
2026-02-01T06:00,15.5,78,73,5.8,2,0.0,0.0,0.0
2026-02-01T07:00,15.9,73,58,6.2,2,52.0,28.0,24.0
2026-02-01T08:00,17.0,66,44,6.5,2,200.0,113.0,87.0
2026-02-01T09:00,19.3,55,31,7.6,0,399.0,266.0,133.0
2026-02-01T10:00,22.3,43,18,10.1,0,626.0,484.0,142.0
2026-02-01T11:00,24.8,33,5,11.9,0,820.0,689.0,131.0
