timestamp,carbon_intensity,zone
2026-01-28T23:23:19.621761,474.0318071666514,IN-KA
2026-01-29T00:23:19.621761,472.64962608225346,IN-KA
2026-01-29T01:23:19.621761,457.1193496443083,IN-KA
2026-01-29T02:23:19.621761,514.0603217482079,IN-KA
2026-01-29T03:23:19.621761,479.05679368269733,IN-KA
2026-01-29T04:23:19.621761,502.4869407380774,IN-KA
2026-01-29T05:23:19.621761,494.96478210480575,IN-KA
2026-01-29T06:23:19.621761,625.2396397511216,IN-KA
2026-01-29T07:23:19.621761,595.2626250931755,IN-KA
2026-01-29T08:23:19.621761,579.6930047379369,IN-KA
2026-01-29T09:23:19.621761,644.0104343671904,IN-KA
2026-01-29T10:23:19.621761,583.3568967697506,IN-KA
2026-01-29T11:23:19.621761,429.5955566153032,IN-KA
2026-01-29T12:23:19.621761,428.8018094288463,IN-KA
2026-01-29T13:23:19.621761,404.203215930798,IN-KA
2026-01-29T14:23:19.621761,391.4636915128948,IN-KA
2026-01-29T15:23:19.621761,353.33310908686246,IN-KA
2026-01-29T16:23:19.621761,461.2053975154598,IN-KA
2026-01-29T17:23:19.621761,506.8997937770929,IN-KA
2026-01-29T18:23:19.621761,632.9976155426192,IN-KA
2026-01-29T19:23:19.621761,568.3357403603545,IN-KA
2026-01-29T20:23:19.621761,641.8131198005481,IN-KA
2026-01-29T21:23:19.621761,618.9286964829975,IN-KA
2026-01-29T22:23:19.621761,567.0567042932671,IN-KA
